Device,SNbay-f6b-hot-1a,bip070540s
bay-f6b-hot-1b,bip079918s
bay-f6b-msgr-2a,bip081220s
bay-f6b-msgr-2b,bip070545s
bay-f6b-msgr-3a,bip065846s
bay-f6b-msgr-3b,bip065832s
bay-f6b-msgr-4a,bip065828s
bay-f6b-msgr-4b,bip062676s
bay-f6b-msgr-5a,bip083062s
bay-f6b-msgr-5b,bip072195s
bay-f6f-abch-1a,bip070697s
bay-f6f-abch-1b,bip073225s
bay-f6f-abch-1c,bip070696s
bay-f6f-abch-1d,bip070698s
bay-f6f-abch-1e,bip083579s
bay-f6f-abch-1f,bip206156s
bay-f6f-hot-101a,bip073367s
bay-f6f-hot-101b,bip073229s
bay-f6f-hot-102a,bip073368s
bay-f6f-hot-102b,bip073230s
bay-f6f-hot-103a,bip069730s
bay-f6f-hot-103b,bip069739s
bay-f6f-hot-104a,bip073372s
bay-f6f-hot-104b,bip073231s
bay-f6f-hot-105a,bip073742s
bay-f6f-hot-105b,bip070079s
bay-f6f-hot-106a,bip070537s
bay-f6f-hot-106b,bip070083s
bay-f6f-hot-107a,bip073863s
bay-f6f-hot-107b,bip065995s
bay-f6f-hot-108a,bip069723s
bay-f6f-hot-108b,bip069735s
bay-f6f-hot-109a,bip073374s
bay-f6f-hot-109b,bip073747s
bay-f6f-hot-110a,bip072465s
bay-f6f-hot-110b,bip073053s
bay-f6f-hot-111a,bip073383s
bay-f6f-hot-111b,bip073378s
bay-f6f-hot-112a,bip070084s
bay-f6f-hot-112b,bip073801s
bay-f6f-hot-113a,bip073049s
bay-f6f-hot-113b,bip073048s
bay-f6f-hot-114a,bip073043s
bay-f6f-hot-114b,bip073046s
bay-f6f-hot-115a,bip065726s
bay-f6f-hot-115b,bip065818s
bay-f6f-hot-1a,bip073862s
bay-f6f-hot-1b,bip073749s
bay-f6f-hot-1c,bip073748s
bay-f6f-hot-1d,bip079913s
bay-f6f-hot-1e,bip079920s
bay-f6f-hot-1f,bip068697s
bay-f6f-hot-1g,bip081959s
bay-f6f-hot-1h,bip081618s
bay-f6f-hot-2a,bip073752s
bay-f6f-hot-2b,bip073373s
bay-f6f-hot-2c,bip073750s
bay-f6f-hot-2d,bip068702s
bay-f6f-hot-2e,bip061647s
bay-f6f-hot-2f,bip061704s
bay-f6f-hot-2g,bip083059s
bay-f6f-hot-2h,bip083082s
bay-f6f-hot-3a,bip064915s
bay-f6f-hot-3b,bip073382s
bay-f6f-hot-3c,bip073369s
bay-f6f-hot-3d,bip073867s
bay-f6f-msgr-1a,bip065845s
bay-f6f-msgr-1b,bip065839s
bay-f6f-msgr-2a,bip065825s
bay-f6f-msgr-2b,bip069003s
bay-f6f-msgr-3a,bip069006s
bay-f6f-msgr-3b,bip069005s
bay-f6f-msgr-4a,bip065835s
bay-f6f-msgr-4b,bip065831s
bay-f6f-msgr-5a,bip069002s
bay-f6f-ppe-msgr-1a,bip202550s
bay-f6f-ppe-msgr-1b,bip202793s
bay-f6f-ppt-1a,bip070612s
bay-f6f-ppt-1b,bip070616s
bay-f6f-ppt-2a,bip070614s
bay-f6f-ppt-2b,bip070610s
bay-f6f-srch-1a,bip069921s
bay-f6f-srch-1b,bip069803s
blu-f6b-1a,bip073900s
blu-f6b-1b,bip073921s
blu-f6b-msgr-2a,bip081955s
blu-f6b-msgr-2b,bip081711s
blu-f6f-a1-1a,bip078747s
blu-f6f-a1-1b,bip079252s
blu-f6f-cps-1a,bip073489s
blu-f6f-cps-1b,bip073912s
blu-f6f-hot-101a,bip079895s
blu-f6f-hot-101b,bip070926s
blu-f6f-msgr-2a,bip081963s
blu-f6f-msgr-2b,bip081958s
blu-f6x-1a,bip204238s
blu-f6x-1b,bip204242s
blu-f6x-ads-1a,bip081717s
blu-f6x-ads-1b,bip081610s
by2-f6b-msgr-1a,bip081225s
by2-f6b-msgr-1b,bip081229s
by2-f6b-msgr-1c,bip082403s
by2-f6b-msgr-1d,bip082397s
by2-f6b-msgr-2a,bip081236s
by2-f6b-msgr-2b,bip081239s
by2-f6f-abch-1a,bip083582s
by2-f6f-abch-1b,bip083571s
by2-f6f-abch-1c,bip081264s
by2-f6f-abch-1d,bip083477s
by2-f6f-abch-1e,bip083572s
by2-f6f-abch-1f,bip076558s
by2-f6f-abch-2a,bip083479s
by2-f6f-abch-2b,bip081247s
by2-f6f-abch-2c,bip081259s
by2-f6f-abch-2d,bip081252s
by2-f6f-abch-2e,bip081256s
by2-f6f-abch-2f,bip083563s
by2-f6f-hot-116a,bip079914s
by2-f6f-hot-116b,bip070557s
by2-f6f-hot-117a,bip079773s
by2-f6f-hot-117b,bip079916s
by2-f6f-hot-118a,bip070564s
by2-f6f-hot-118b,bip073376s
by2-f6f-hot-119a,bip065829s
by2-f6f-hot-119b,bip079909s
by2-f6f-hot-120a,bip081585s
by2-f6f-hot-120b,bip081626s
by2-f6f-hot-121a,bip081867s
by2-f6f-hot-121b,bip081235s
by2-f6f-hot-122a,bip081581s
by2-f6f-hot-122b,bip081582s
by2-f6f-hot-123a,bip081623s
by2-f6f-hot-123b,bip083061s
by2-f6f-hot-124a,bip081600s
by2-f6f-hot-124b,bip083068s
by2-f6f-hot-125a,bip201798s
by2-f6f-hot-125b,bip201815s
by2-f6f-hot-126a,bip083066s
by2-f6f-hot-126b,bip083064s
by2-f6f-hot-127a,bip083078s
by2-f6f-hot-127b,bip083010s
by2-f6f-hot-128a,bip204603s
by2-f6f-hot-128b,bip204607s
by2-f6f-hot-129a,bip204038s
by2-f6f-hot-129b,bip204022s
by2-f6f-hot-130a,bip204034s
by2-f6f-hot-130b,bip204025s
by2-f6f-msgr-1a,bip081234s
by2-f6f-msgr-1b,bip081233s
by2-f6f-msgr-2a,bip081240s
by2-f6f-msgr-2b,bip081241s
by2-f6f-ppe-ppt-1a,bip202792s
by2-f6f-ppe-ppt-1b,bip202542s
by2-f6f-sps-1a,bip083574s
by2-f6f-sps-1b,bip201578s
by2-f6f-sps-1c,bip200001s
by2-f6f-sps-1d,bip201574s
by2-f6f-sps-1e,bip201590s
by2-f6f-sps-1f,bip201594s
by2-f6f-sps-1g,bip201593s
by2-f6f-sps-1h,bip201577s
by2-f6f-str-1a,bip081597s
by2-f6f-str-1b,bip081827s
by2-f6f-str-1c,bip083076s
by2-f6f-str-1d,bip081624s
by2-f6f-str-1e,bip201814s
by2-f6f-str-1f,bip081820s
by2-f6f-str-1g,bip083139s
by2-f6f-str-1h,bip083084s
by2-f6f-str-2a,bip083060s
by2-f6f-str-2b,bip081869s
by2-f6f-str-2c,bip083157s
by2-f6f-str-2d,bip083003s
by2-f6f-str-2e,bip081824s
by2-f6f-str-2f,bip081612s
by2-f6f-str-2g,bip081821s
by2-f6f-str-2h,bip083155s
by2-f6m-spare-2,bip073875s
by2-f6x-1a,bip083161s
by2-f6x-1b,bip083128s
by2-f6x-2a,bip083134s
by2-f6x-2b,bip081232s
cpk-f6f-a1-1a,bip078741s
cpk-f6f-a1-1b,bip078731s
cpk-f6f-sts-1a,bip053651s
cpk-f6f-sts-1b,bip053608suuuuu
dub-f6f-1a,bip202498s
dub-f6f-1b,bip201811s
dub-f6f-msgr-1a,bip082399s
dub-f6f-msgr-1b,bip082406s
dub-f6f-xit-1a,bip070534s
dub-f6f-xit-1b,bip073865s
dub-f6f-xit-2a,bip073738s
dub-f6f-xit-2b,bip070559s
kaw-f6f-msn-1a,bip070085s
kaw-f6f-msn-1b,bip070077s
kaw-f6f-msn-int-1,bip070075s
kaw-f6f-xit-1a,bip073871s
kaw-f6f-xit-1b,bip073872s
lon-f6f-msn-1a,bip069013s
lon-f6f-msn-1b,bip068801s
lon-f6f-msn-2a,bip065386s
lon-f6f-msn-2b,bip068827s
lon-f6f-ppe-1a,bip065374s
lon-f6f-ppe-1b,bip068797s
sin-f6f-xit-1a,bip070078s
sin-f6f-xit-1b,bip073745s
sv4-f6x-int-hmops-1a,bip065804s
sv4-f6x-int-hmops-1b,bip083089s
tuk-f6-mia-1a,bip055182s
tuk-f6-mia-1b,bip065204s
tuk-f6-mia-2a,bip055084s
tuk-f6d-mpgsc-1a,bip055278s
tuk-f6d-ossg-1a,bip073065s
tuk-f6d-ossg-1b,bip069698s
tuk-f6f-a1-1a,bip068928s
tuk-f6f-a1-1b,bip068690s
tuk-f6f-a1-2b,bip055722s
tuk-f6f-bcn-1a,bip070690s
tuk-f6f-bcn-1b,bip069069s
tuk-f6f-cts-1a,bip083578s
tuk-f6f-cts-1b,bip082404s
tuk-f6f-int-ppt-1a,bip079915s
tuk-f6f-mexp-1a,bip055122s
tuk-f6f-mexp-1b,bip055276s
tuk-f6f-ppe-ppt-1a,bip073736s
tuk-f6f-ppe-ppt-1b,bip073380s
tuk-f6f-ppe-sps-1a,bip079242s
tuk-f6f-ppe-sps-1b,bip076664s
tuk-f6f-ppt-1a,bip070611s
tuk-f6f-ppt-1b,bip070618s
tuk-f6f-ppt-2a,bip070609s
tuk-f6f-ppt-2b,bip070613s
tuk-f6f-sps-1a,bip076560s
tuk-f6f-sps-1b,bip069721s
tuk-f6f-sps-2a,bip204126s
tuk-f6f-sps-2b,bip204097s
tuk-f6f-sps-3a,bip082396s
tuk-f6f-sps-3b,bip082409s
tuk-f6f-str-1a,bip076565s
tuk-f6f-str-1b,bip078746s
tuk-f6f-str-2a,bip081607s
tuk-f6f-str-2b,bip083160s
tuk-f6f-str-3a,bip081970s
tuk-f6f-str-3b,bip083075s
tuk-f6f-str-4a,bip083164s
tuk-f6f-str-4b,bip083154s
tuk-f6f-xit-1a,bip073860s
tuk-f6f-xit-1b,bip204609s
tuk-f6f-xit-2a,bip073861s
tuk-f6f-xit-2b,bip073045s
tuk-f6f-xit-3a,bip079260s
tuk-f6f-xit-3b,bip079254s
tuk-f6f-xit-4a,bip079255s
tuk-f6f-xit-4b,bip072736s
tuk-f6f-xit-5a,bip079257s
tuk-f6f-xit-5b,bip065824s
tuk-f6m-spare-1,bip202541s
tuk-f6m-spare-2,bip201607s
tuk-f6x-cps-1a,bip205231s
tuk-f6x-cps-1b,bip205238s
tuk-f6x-int-msgr-1a,bip064917s
tuk-f6x-int-msgr-1b,bip064919s
