Date Modified,Device Name,Count,Message
6/28/2006 14:24,119-6nx-int-mob-1,386,messages currently in use by the system. 
6/28/2006 2:00,27-6nx-int-wstm-1,1342,messages currently in use by the system. 
6/28/2006 2:00,bay-6me-tv-1a,1997,messages currently in use by the system. 
6/28/2006 2:00,bay-6me-tv-1b,1941,messages currently in use by the system. 
6/28/2006 2:00,bay-6mf-ppe-hot-1a,2010,messages currently in use by the system. 
6/28/2006 2:00,bay-6mf-ppe-hot-1b,1886,messages currently in use by the system. 
6/28/2006 2:00,bay-6ms-corp-1,1716,messages currently in use by the system. 
6/28/2006 2:00,bay-6mx-ppt-1a,123,messages currently in use by the system. 
6/28/2006 2:00,bay-6mx-ppt-1b,117,messages currently in use by the system. 
6/28/2006 2:00,bay-6nb-ess-1a,1,message currently in use by the system. 
6/28/2006 2:00,bay-6nb-ess-1b,1,message currently in use by the system. 
6/28/2006 2:00,bay-6nb-hot-101,1,message currently in use by the system. 
6/28/2006 2:00,bay-6nb-hot-102,1,message currently in use by the system. 
6/28/2006 2:01,bay-6nb-hot-103,1870,messages currently in use by the system. 
6/28/2006 2:01,bay-6nb-hot-104,1,message currently in use by the system. 
6/28/2006 2:01,bay-6nb-hot-105,1730,messages currently in use by the system. 
6/28/2006 2:01,bay-6nb-hot-106,1656,messages currently in use by the system. 
6/28/2006 2:01,bay-6nb-hot-107,1631,messages currently in use by the system. 
6/28/2006 2:01,bay-6nb-hot-108,1300,messages currently in use by the system. 
6/28/2006 2:01,bay-6nf-hot-16a,759,messages currently in use by the system. 
6/28/2006 2:01,bay-6nf-hot-16b,760,messages currently in use by the system. 
6/28/2006 2:01,bay-6nf-hot-18a,1,message currently in use by the system. 
6/28/2006 2:01,bay-6nf-hot-18b,1,message currently in use by the system. 
6/28/2006 2:01,bay-6nf-hot-19a,1844,messages currently in use by the system. 
6/28/2006 2:01,bay-6nf-hot-19b,1768,messages currently in use by the system. 
6/28/2006 2:01,bay-6nf-hot-22a,1,message currently in use by the system. 
6/28/2006 2:01,bay-6nf-hot-22b,1,message currently in use by the system. 
6/28/2006 2:01,bay-6nf-hot-23a,1,message currently in use by the system. 
6/28/2006 2:01,bay-6nf-hot-23b,1,message currently in use by the system. 
6/28/2006 2:01,bay-6nf-hot-24a,1,message currently in use by the system. 
6/28/2006 2:01,bay-6nf-hot-24b,1,message currently in use by the system. 
6/28/2006 2:01,bay-6nf-hot-6b,1748,messages currently in use by the system. 
6/28/2006 2:01,bay-6nf-hot-6c,1773,messages currently in use by the system. 
6/28/2006 2:01,bay-6nf-hot-6d,1880,messages currently in use by the system. 
6/28/2006 2:01,bay-6nf-hot-6e,1,message currently in use by the system. 
6/28/2006 2:01,bay-6nf-hot-6f,1,message currently in use by the system. 
6/28/2006 2:01,bay-6nf-netwk-1,2505,messages currently in use by the system. 
6/28/2006 12:04,bay-6nf-ppt-2a,169,messages currently in use by the system. 
6/28/2006 12:05,bay-6nf-ppt-2b,144,messages currently in use by the system. 
6/28/2006 12:10,bay-6nf-ppt-3a,160,messages currently in use by the system. 
6/28/2006 12:10,bay-6nf-ppt-3b,208,messages currently in use by the system. 
6/28/2006 2:02,bay-6nix-1a,1533,messages currently in use by the system. 
6/28/2006 2:02,bay-6nix-1b,1649,messages currently in use by the system. 
6/28/2006 2:02,bay-6nm-spare-1,64,messages currently in use by the system. 
6/28/2006 2:02,bay-6np-hot-12a,1,message currently in use by the system. 
6/28/2006 2:02,bay-6np-hot-12b,1,message currently in use by the system. 
6/28/2006 2:02,bay-6np-hot-13a,1,message currently in use by the system. 
6/28/2006 2:02,bay-6np-hot-13b,1,message currently in use by the system. 
6/28/2006 2:02,bay-6np-hot-15a,30,messages currently in use by the system. 
6/28/2006 2:02,bay-6np-hot-15b,1680,messages currently in use by the system. 
6/28/2006 2:02,bay-6nx-hot-20a,1788,messages currently in use by the system. 
6/28/2006 2:02,bay-6nx-hot-20b,1728,messages currently in use by the system. 
6/28/2006 2:02,bay-6nx-hot-21a,1712,messages currently in use by the system. 
6/28/2006 2:02,bay-6nx-hot-21b,1676,messages currently in use by the system. 
6/28/2006 2:02,bay-6nx-msn-2a,2326,messages currently in use by the system. 
6/28/2006 2:02,bay-6nx-msn-2b,382,messages currently in use by the system. 
6/28/2006 2:03,bay-msn-sup-a,2120,messages currently in use by the system. 
6/28/2006 2:03,bay-msn-sup-b,2266,messages currently in use by the system. 
6/28/2006 2:03,bay0-sup-a,2442,messages currently in use by the system. 
6/28/2006 2:03,bay0-sup-b,2296,messages currently in use by the system. 
6/28/2006 2:03,bay0-sup-c,3256,messages currently in use by the system. 
6/28/2006 2:03,bay0-sup-d,3066,messages currently in use by the system. 
6/28/2006 2:03,bay5-sup-a,1,message currently in use by the system. 
6/28/2006 2:03,bay5-sup-b,1,message currently in use by the system. 
6/28/2006 2:03,bay6-sup-a,53,messages currently in use by the system. 
6/28/2006 2:03,bay7-sup-a,1,message currently in use by the system. 
6/28/2006 2:03,bay7-sup-b,1,message currently in use by the system. 
6/28/2006 2:06,by2-65m-2,247,messages currently in use by the system. 
6/28/2006 2:06,by2-6ms-corp-1,0,messages currently in use by the system. 
6/28/2006 2:06,by2-6nb-1,680,messages currently in use by the system. 
6/28/2006 2:08,cpk-6nb-ess-1a,992,messages currently in use by the system. 
6/28/2006 2:08,cpk-6nb-ess-1b,1006,messages currently in use by the system. 
6/28/2006 2:08,cpk-6nf-mia-1a,2096,messages currently in use by the system. 
6/28/2006 2:08,cpk-6nf-mia-1b,1966,messages currently in use by the system. 
6/28/2006 2:08,cpk-6nm-spare-1,380,messages currently in use by the system. 
6/28/2006 2:09,iuscsecurc6m01,1802,messages currently in use by the system. 
6/28/2006 2:09,iuscsecurc6m02,1822,messages currently in use by the system. 
6/28/2006 2:09,iuscsecurc6n03,2072,messages currently in use by the system. 
6/28/2006 2:09,iuscsecurc6n04,2102,messages currently in use by the system. 
6/28/2006 2:09,iuskcmgmtc6n01,1921,messages currently in use by the system. 
6/28/2006 2:09,iuskcmgmtc6n02,1900,messages currently in use by the system. 
6/28/2006 2:09,iusksecurc6n01,1648,messages currently in use by the system. 
6/28/2006 2:09,iusksecurc6n02,1638,messages currently in use by the system. 
6/28/2006 2:10,kaw-6nb-1a,1726,messages currently in use by the system. 
6/28/2006 2:10,kaw-6nb-1b,1712,messages currently in use by the system. 
6/28/2006 2:10,kaw-6nf-1a,1804,messages currently in use by the system. 
6/28/2006 2:10,kaw-6nf-1b,1766,messages currently in use by the system. 
6/28/2006 13:26,kaw-6nf-2a,2016,messages currently in use by the system. 
6/28/2006 13:27,kaw-6nf-2b,1950,messages currently in use by the system. 
6/28/2006 2:10,lon-6nb-1a,1428,messages currently in use by the system. 
6/28/2006 2:10,lon-6nb-1b,1420,messages currently in use by the system. 
6/28/2006 2:10,lon-6nf-1a,1592,messages currently in use by the system. 
6/28/2006 2:10,lon-6nf-1b,1570,messages currently in use by the system. 
6/28/2006 2:10,lon-6nf-2a,1,message currently in use by the system. 
6/28/2006 2:10,lon-6nf-2b,1,message currently in use by the system. 
6/28/2006 2:11,sat-6mb-int-1a,0,messages currently in use by the system. 
6/28/2006 2:11,sat-6mb-int-1b,0,messages currently in use by the system. 
6/28/2006 15:02,sat-6nf-int-1a,1304,messages currently in use by the system. 
6/28/2006 14:23,sat-6nf-int-1b,644,messages currently in use by the system. 
6/28/2006 2:11,sat-6nf-int-netwk-1a,376,messages currently in use by the system. 
6/28/2006 2:11,sat-6nf-int-netwk-1b,502,messages currently in use by the system. 
6/28/2006 2:12,sha-6nb-1a,1478,messages currently in use by the system. 
6/28/2006 2:12,sha-6nb-1b,1492,messages currently in use by the system. 
6/28/2006 2:12,sha-6nf-1a,1614,messages currently in use by the system. 
6/28/2006 2:12,sha-6nf-1b,1586,messages currently in use by the system. 
6/28/2006 2:12,sin-6nb-1a,1568,messages currently in use by the system. 
6/28/2006 2:12,sin-6nb-1b,1562,messages currently in use by the system. 
6/28/2006 2:12,sin-6nf-1a,1654,messages currently in use by the system. 
6/28/2006 2:12,sin-6nf-1b,1640,messages currently in use by the system. 
6/28/2006 2:12,sin-6nm-spare-1,572,messages currently in use by the system. 
6/28/2006 2:12,sv1-6nx-int-hmops-1,162,messages currently in use by the system. 
6/28/2006 2:12,SV4-65x-int-hmops-4,0,messages currently in use by the system. 
6/28/2006 15:07,sv4-6nx-int-hmops-1,1,message currently in use by the system. 
6/28/2006 2:12,svc-rad-6506-1,1,message currently in use by the system. 
6/28/2006 2:12,svc-rad-router-3,368,messages currently in use by the system. 
6/28/2006 2:12,svc-rad-router-4,356,messages currently in use by the system. 
6/28/2006 2:12,tke-6mb-1a,0,messages currently in use by the system. 
6/28/2006 2:12,tke-6mb-1b,0,messages currently in use by the system. 
6/28/2006 2:12,tke-6nf-1a,1650,messages currently in use by the system. 
6/28/2006 2:12,tke-6nf-1b,1624,messages currently in use by the system. 
6/28/2006 2:13,tuk-65m-ppt-1,5626,messages currently in use by the system. 
6/28/2006 2:13,tuk-65s-netwk-1,1424,messages currently in use by the system. 
6/28/2006 2:13,tuk-65s-netwk-2,1018,messages currently in use by the system. 
6/28/2006 13:53,tuk-6nb-14a,84,messages currently in use by the system. 
6/28/2006 13:53,tuk-6nb-14b,1808,messages currently in use by the system. 
6/28/2006 2:13,tuk-6nb-1a,1572,messages currently in use by the system. 
6/28/2006 2:13,tuk-6nb-1b,1566,messages currently in use by the system. 
6/28/2006 2:13,tuk-6nb-2a,594,messages currently in use by the system. 
6/28/2006 2:13,tuk-6nb-2b,1764,messages currently in use by the system. 
6/28/2006 2:13,tuk-6nb-3a,1842,messages currently in use by the system. 
6/28/2006 2:13,tuk-6nb-3b,1792,messages currently in use by the system. 
6/28/2006 2:13,tuk-6nb-4a,1584,messages currently in use by the system. 
6/28/2006 2:13,tuk-6nb-4b,1324,messages currently in use by the system. 
6/28/2006 2:13,tuk-6nb-6a,1708,messages currently in use by the system. 
6/28/2006 2:13,tuk-6nb-6b,1698,messages currently in use by the system. 
6/28/2006 2:13,tuk-6nb-ess-1a,1788,messages currently in use by the system. 
6/28/2006 2:13,tuk-6nb-ess-1b,136,messages currently in use by the system. 
6/28/2006 13:27,tuk-6nf-14a,2677,messages currently in use by the system. 
6/28/2006 13:27,tuk-6nf-14b,2434,messages currently in use by the system. 
6/28/2006 2:14,tuk-6nf-4a,2430,messages currently in use by the system. 
6/28/2006 2:14,tuk-6nf-4b,2170,messages currently in use by the system. 
6/28/2006 2:14,tuk-6nf-5a,2580,messages currently in use by the system. 
6/28/2006 2:14,tuk-6nf-5b,2196,messages currently in use by the system. 
6/28/2006 2:14,tuk-6nf-ppt-3a,5314,messages currently in use by the system. 
6/28/2006 2:14,tuk-6nf-ppt-3b,5328,messages currently in use by the system. 
6/28/2006 2:14,tuk-6nix-2a,676,messages currently in use by the system. 
6/28/2006 2:14,tuk-6nix-2b,442,messages currently in use by the system. 
6/28/2006 2:14,tuk-6nmt-1a,1,message currently in use by the system. 
6/28/2006 2:14,tuk-6nmt-1b,1,message currently in use by the system. 
6/28/2006 2:14,tuk-6ns-netwk-2,0,messages currently in use by the system. 
6/28/2006 2:14,tuk-6ns-netwk-3,1484,messages currently in use by the system. 
6/28/2006 2:14,tuk-6nx-rms-1a,46,messages currently in use by the system. 
6/28/2006 2:14,tuk-6nx-rms-1b,2000,messages currently in use by the system. 
6/28/2006 12:04,tuk2-pp-sup-d,5512,messages currently in use by the system. 
6/28/2006 12:03,tuk2-pp-sup-e,5362,messages currently in use by the system. 
6/28/2006 2:15,tuk2-sup-12a,2091,messages currently in use by the system. 
6/28/2006 2:15,tuk2-sup-12b,1800,messages currently in use by the system. 
6/28/2006 2:15,tuk2-sup-13a,900,messages currently in use by the system. 
6/28/2006 2:15,tuk2-sup-13b,1462,messages currently in use by the system. 
6/28/2006 9:37,tuk2-sup-9a,2362,messages currently in use by the system. 
6/28/2006 9:37,tuk2-sup-9b,1990,messages currently in use by the system. 
6/28/2006 2:15,tuk2b-sup-5a,1764,messages currently in use by the system. 
6/28/2006 2:15,tuk2b-sup-5b,1748,messages currently in use by the system. 
6/28/2006 2:15,tuk2b-sup-7a,1922,messages currently in use by the system. 
6/28/2006 2:15,tuk2b-sup-7b,1912,messages currently in use by the system. 
6/28/2006 2:15,tuk2f-sup-1a,2662,messages currently in use by the system. 
6/28/2006 2:15,tuk2f-sup-1b,2850,messages currently in use by the system. 
6/28/2006 2:15,tuk2f-sup-2a,2217,messages currently in use by the system. 
6/28/2006 2:15,tuk2f-sup-2b,1936,messages currently in use by the system. 
6/28/2006 2:15,tuk2f-sup-3a,2340,messages currently in use by the system. 
6/28/2006 2:15,tuk2f-sup-3b,1844,messages currently in use by the system. 
6/28/2006 2:15,tuk2f-sup-6a,2154,messages currently in use by the system. 
6/28/2006 2:15,tuk2f-sup-6b,2114,messages currently in use by the system. 
6/28/2006 2:15,tuk2f-sup-7a,2158,messages currently in use by the system. 
6/28/2006 2:15,tuk2f-sup-7b,1762,messages currently in use by the system. 
,,1319
